Local time,Open,High,Low,Close,Volume
27.04.2023 10:30:00.000 GMT-0600,134.021,134.062,133.992,133.994,8785900039.6728
27.04.2023 11:00:00.000 GMT-0600,133.994,134.062,133.854,133.857,9229309997.558598
27.04.2023 11:30:00.000 GMT-0600,133.856,133.973,133.820,133.964,8992919998.169004
27.04.2023 12:00:00.000 GMT-0600,133.964,134.062,133.947,134.002,5974760017.3948
27.04.2023 12:30:00.000 GMT-0600,134.002,134.018,133.952,133.985,7943129989.6241
27.04.2023 13:00:00.000 GMT-0600,133.986,133.986,133.905,133.923,6675949985.5042
27.04.2023 13:30:00.000 GMT-0600,133.924,133.989,133.890,133.910,7884849967.9564
27.04.2023 14:00:00.000 GMT-0600,133.909,133.959,133.877,133.929,4865789999.0083
27.04.2023 14:30:00.000 GMT-0600,133.929,134.036,133.928,133.967,3367610002.5176
27.04.2023 15:00:00.000 GMT-0600,133.967,133.967,133.879,133.899,8245940006.017701
27.04.2023 15:30:00.000 GMT-0600,133.885,133.976,133.844,133.854,3946469968.7956996
27.04.2023 16:00:00.000 GMT-0600,133.870,133.959,133.821,133.897,4723290031.433
27.04.2023 16:30:00.000 GMT-0600,133.898,133.940,133.853,133.912,2877610023.4984994
27.04.2023 17:00:00.000 GMT-0600,133.913,133.932,133.852,133.882,6283869907.379102
27.04.2023 17:30:00.000 GMT-0600,133.882,133.931,133.731,133.802,9722489936.8289
27.04.2023 18:00:00.000 GMT-0600,133.804,133.913,133.789,133.843,6292110031.1279
27.04.2023 18:30:00.000 GMT-0600,133.843,134.074,133.843,134.036,10183080024.719297
27.04.2023 19:00:00.000 GMT-0600,134.036,134.072,133.976,134.028,7987650047.302201
27.04.2023 19:30:00.000 GMT-0600,134.028,134.282,133.602,134.194,13139130050.659002
27.04.2023 20:00:00.000 GMT-0600,134.194,134.291,134.020,134.103,8061919967.6515
27.04.2023 20:30:00.000 GMT-0600,134.104,134.171,133.954,134.098,5503769981.384401
27.04.2023 21:00:00.000 GMT-0600,134.098,134.127,133.335,133.912,7011499935.1502
27.04.2023 21:30:00.000 GMT-0600,133.905,133.946,133.637,133.810,7450549957.275499
27.04.2023 22:00:00.000 GMT-0600,133.808,134.935,133.375,134.765,19025690093.9943
27.04.2023 22:30:00.000 GMT-0600,134.765,134.836,134.628,134.771,10017019989.0137
27.04.2023 23:00:00.000 GMT-0600,134.771,134.944,134.709,134.900,14297439941.406403
27.04.2023 23:30:00.000 GMT-0600,134.899,135.131,134.831,134.976,13387310043.3351
28.04.2023 00:00:00.000 GMT-0600,134.976,135.289,134.975,135.222,26549359802.2462
28.04.2023 00:30:00.000 GMT-0600,135.222,135.759,135.197,135.636,34369859802.2462
28.04.2023 01:00:00.000 GMT-0600,135.635,135.856,135.599,135.689,25881679870.606
28.04.2023 01:30:00.000 GMT-0600,135.688,135.789,135.636,135.725,18607660186.767704
28.04.2023 02:00:00.000 GMT-0600,135.726,135.739,135.515,135.645,20372679962.1584
28.04.2023 02:30:00.000 GMT-0600,135.645,135.796,135.607,135.634,13564220108.032097
28.04.2023 03:00:00.000 GMT-0600,135.632,135.936,135.630,135.911,12911809951.782196
28.04.2023 03:30:00.000 GMT-0600,135.912,136.180,135.891,136.158,11928560058.593601
28.04.2023 04:00:00.000 GMT-0600,136.156,136.169,135.908,135.928,12015429992.6761
28.04.2023 04:30:00.000 GMT-0600,135.928,136.102,135.881,136.069,8579989974.9755
28.04.2023 05:00:00.000 GMT-0600,136.070,136.088,135.976,135.997,9606780006.4087
28.04.2023 05:30:00.000 GMT-0600,135.995,136.179,135.995,136.131,10327579971.3137
28.04.2023 06:00:00.000 GMT-0600,136.130,136.283,136.037,136.271,13966399963.378899
28.04.2023 06:30:00.000 GMT-0600,136.265,136.421,135.976,136.063,23505170104.980495
28.04.2023 07:00:00.000 GMT-0600,136.066,136.068,135.835,135.987,13899259948.730598
28.04.2023 07:30:00.000 GMT-0600,135.986,136.243,135.927,136.219,23917479858.398605
28.04.2023 08:00:00.000 GMT-0600,136.213,136.560,136.201,136.530,23526019958.496
28.04.2023 08:30:00.000 GMT-0600,136.529,136.533,136.128,136.173,31830450073.242496
28.04.2023 09:00:00.000 GMT-0600,136.172,136.224,136.060,136.120,22480550354.0043
28.04.2023 09:30:00.000 GMT-0600,136.121,136.182,135.953,135.994,13378189933.776997
28.04.2023 10:00:00.000 GMT-0600,135.995,136.092,135.960,136.083,11702800033.569298
28.04.2023 10:30:00.000 GMT-0600,136.083,136.099,135.977,136.074,10620220062.2555
28.04.2023 11:00:00.000 GMT-0600,136.074,136.145,136.042,136.139,7162260078.4300995
28.04.2023 11:30:00.000 GMT-0600,136.139,136.204,136.069,136.171,6689749984.7412
28.04.2023 12:00:00.000 GMT-0600,136.172,136.256,136.150,136.229,7931200012.206798
28.04.2023 12:30:00.000 GMT-0600,136.228,136.288,136.196,136.253,7366340034.4849
28.04.2023 13:00:00.000 GMT-0600,136.254,136.257,136.203,136.212,3778359989.166201
28.04.2023 13:30:00.000 GMT-0600,136.212,136.242,136.141,136.239,6184700042.724799
28.04.2023 14:00:00.000 GMT-0600,136.238,136.306,136.201,136.272,4776410009.3843
28.04.2023 14:30:00.000 GMT-0600,136.271,136.348,136.243,136.243,4731700004.577501
28.04.2023 15:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 15:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 16:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 16:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 17:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 17:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 18:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 18:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 19:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 19:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 20:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 20:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 21:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 21:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 22:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 22:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 23:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
28.04.2023 23:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 00:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 00:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 01:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 01:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 02:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 02:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 03:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 03:30:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
29.04.2023 04:00:00.000 GMT-0600,136.243,136.243,136.243,136.243,0
